"Data Broker Name","Email Address","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"Refinition","optout [at] refinition.com","https://refinition.com","106 E 6th Street, Suite 900-146, Austin, TX 78701, United States","California residents may submit an opt-out of sale request by contacting us using our toll-free number 877-673-3463 ext. 3 or by email address optout@refinition.com.","California residents and protected individuals may submit deletion requests by contacting us at our toll-free number 877-673-3463 ext. 3. or email optout@refinition.com","Refinition is a technology company of innovators and data ethics specialists who are on a mission to empower companies with data independence, powered with deterministic, privacy-safe data, offline and online, and the ability to leverage it as omni-channel addressable audiences. We appreciate that consumers don’t journey in the silos of digital advertising and with so much fragmentation, brands struggle to reach their coveted, target audience. Refinition provides solutions to overcome these obstacles seamlessly., , Additional information on Refinition’s data collecting practices is available at https://www.refinition.com/privacy-policy/, ","05/02/2022"
"LSC MARKETING GROUP","info [at] lscmarketinggroup.com","https://lscmarketinggroup.com/","6 Trowbridge Dr., PO BOX 516, Bethel, CT 06801, United States","California consumers may opt out of the sale of their personal information by submitting an online request to https://lscmarketinggroup.com/ccpa-form/ Consumers may also submit an email request to info@lscmarketinggroup.com or by direct mail or telephone. Our telephone number is 1-203-743-2600. Our mailing address is: LSC Marketing Group, Attn: Consumer Care Advocate - CCPA Requests, PO Box 516, Bethel , CT 06801. ","California consumers and/or elected or appointed officials may submit an opt-out request by submitting an online request to https://lscmarketinggroup.com/ccpa-form/. Consumers and/or elected or appointed officials may also submit an email request to info@lscmarketinggroup.com  or by direct mail or telephone. Our telephone number is 1-203-743-2600. Our mailing address is: LSC Marketing Group, Attn: Consumer Care Advocate - CCPA Requests, PO Box 516, Bethel , CT 06801. ","An in-depth discussion of LSC Marketing Group’s  data collection practices can be found at: https://lscmarketinggroup.com/data/data-acquisition-consumer-business/","05/13/2022"
"Adttribution LLC","Info [at] adttribution.com","http://www.adttribution.com/","66.W.Flager Street 9th Floor, Miami, FL 33130, United States","We have an op-out process in our website how to do either emailing , contact or phone.","By phone, emailing or via contact filling a form.","We passed all the compliance of other countries like a Brazil and GDPR in Europe.","08/02/2022"
"Ferreter Inc.","privacy [at] ferret.ai","http://www.ferret.ai","233 WILSHIRE BLVD, Suite 350, SANTA MONICA, CA 90401, United States","The process for opt out under CCPA is outlined on the company's website. Please click on the link below for detail:, , https://www.ferret.ai/do-not-sell-my-info","The protected individual can demand deletion of information posted online. The process is explained in detail on the link below:, , https://www.ferret.ai/do-not-sell-my-info","Ferreter Inc.'s data collecting practices are explained in detail in the Terms of Use and Data Privacy policies. Please click on links below for more detail:, , https://www.ferret.ai/terms-of-use, , https://www.ferret.ai/privacy-policy, ","08/03/2022"
"Realeflow LLC","privacy [at] realeflow.com","http://www.realeflow.com","6659 Pearl Road, Suite 301, Parma Heights, OH 44130, United States","Consumers can contact us by email at privacy@realeflow.com or any of the other contact methods listed in our privacy policy, including a toll free telephone number, which is posted at www.realeflow.com.","Not applicable.  Realeflow does not post information about individuals online.  However, any protected consumer can request deletion of data by contacting us by email at privacy@realeflow.com or any of the other contact methods listed in our privacy policy, including a toll free telephone number, which is posted at www.realeflow.com","Realeflow collects potential real estate sales leads, which it provides to users of its real estate investment software.  Data transfers are limited to those uses only.  ","09/08/2022"
"RevenueBase Inc","privacy [at] revenuebase.ai","https://revenuebase.ai/","280 Moody st., Waltham, MA 02453, United States","Consumers may opt out of sale or submit requests under the CCPA on the RevenueBase Privacy Policy Page: https://revenuebase.ai/privacy-policy/","Consumers may request deletion of their individual information on the RevenueBase Privacy Policy Page: https://revenuebase.ai/privacy-policy/","Additional information about data collection practices may be found on the RevenueBase Privacy Policy Page: https://revenuebase.ai/privacy-policy/","09/26/2022"
"ROI Direct Marketing, Inc.","privacy [at] roidirectmarketing.com","http://roidirectmarketing.com","2395 halyard drive, Merrick, NY 11566, United States","through this links in the footer of each of our landing pages or by calling the phone number as well","through the links on our landing pages and phone numbers also noted in our Do Not Sell My Personal Information also in the footer","","11/28/2022"
"Solar Experts","Privacy [at] solarpower-experts.com","https://solarpower-experts.com/","2395 halyard drive, Merrick, NY 11566, United States","through the links on the footer as well as a phone number","the consumer may click on the Do Not Sell My Information links on the footer or call the respective phone number","","11/21/2022"
"Nielsen Marketing Cloud","privacy.department [at] nielsen.com","https://www.nielsen.com/us/en/solutions/capabilities/nielsen-marketing-cloud/","675 Avenue of the Americas, NEW YORK, NY 10010, United States","A consumer can review our privacy practices and opt out of sales and submit requests under the CCPA by visiting: https://www.nielsen.com/legal/privacy-principles/nielsen-marketing-cloud-services-privacy-statement/ to access Nielsen Marketing Cloud's online request portal and opt out links.","Nielsen Marketing Cloud does not publicly post or display personal information online.","Please review our privacy statement to learn more about how we collect and use data: https://www.nielsen.com/legal/privacy-principles/nielsen-marketing-cloud-services-privacy-statement/","12/21/2022"
"L.S Mobile Apps Holdings Ltd","privacy [at] lsmapps.com","https://www.lsmapps.com/","132 Derech Menachem Begin, Tel-Aviv, Israel","https://www.lsmapps.com/onetrust-opt-out","https://www.lsmapps.com/onetrust-opt-out","https://www.lsmapps.com/ccpa","12/29/2022"
"Welltok, Inc.","privacy [at] welltok.com","http://www.welltok.com","1515 Arapahoe Street, Tower 3, Suite 700, Denver, CO 80202, United States","Submit a request using the Individual Data Rights Request Form (https://welltokinc.service-now.com/csm?id=privacy_request&sysparm_domain_restore=false&sysparm_stack=no) or send an email to privacy@welltok.com.","Submit a request using the Individual Data Rights Request Form (https://welltokinc.service-now.com/csm?id=privacy_request&sysparm_domain_restore=false&sysparm_stack=no) or send an email to privacy@welltok.com.","","02/07/2020"
"Acme Inc","fathkr [at] gmail.com","http://www.acme.com","200 Water Street, Sacramento, CA 94203, United States","","","",""
"R1D Media Group","info [at] r1dmediagroup.com","http://www.r1dmediagroup.com","4833 Front Street, Ste. B204, Castle Rock, CO 80104, United States","","","",""
"jessica wasserman","jessica [at] wassermandc.com","http://wassermandc.com","2842 27th Street, NW, Washington, DC 20008, United States","online","online","third party",""
"Collateral Analytics, LLC","legal [at] collateralanalytics.com","https://search.homepricetrends.com/#/","6700 Kalanianaole Hwy, Ste 210, Honolulu, HI 96825, United States","Consumers may exercise their right to opt out of sales by filing our a Consumer Rights Request Form, available online at https://search.homepricetrends.com/#/privacy, by emailing us at support@collateralanalytics.com, or by calling out toll free number at +1(808) 527-2428. ","Consumers may exercise their right to delete information by emailing us at support@collateralanalytics.com, or by calling out toll free number at +1(808) 527-2428. ","Please see our privacy policy: https://search.homepricetrends.com/#/privacy ","01/30/2020"
"ORIGIN8 INC","compliance [at] pushint.com","https://www.pushint.com","225 Thomas Ave N, Minneapolis, MN 55405, United States","Please email your requests to compliance@pushint.com, call us at 612-500-4420, or submit a request through https://pushint.com/manage-my-data","Please email your requests to compliance@pushint.com, call us at 612-500-4420, or submit a request through https://pushint.com/manage-my-data","We capture data from internally owned and operated websites under a variety of brands, and either provide the requested services to the customer, or distribute the data to a 3rd party to provide the required services with the customers permission.","02/07/2020"
"Infortal Associates Inc dba Infortal Worldwide","ctal [at] infortal.com","http://www.infortal.com","1590 THE ALAMEDA, SUITE 100, SAN JOSE, CA 95126, United States","Consumer can contact support@infortal.com to opt out of sale or submit requests under the CCPA.  Infortal will verify that the consumer is correctly identified before proceeding with changes requested by consumer.","Protected Individuals (Consumer) can contact support@infortal.com to opt out of sale or submit requests under the CCPA.  Infortal will verify that the consumer is correctly identified before proceeding with changes requested by consumer. Retention and deletion of data will be pursuant to State of California regulations governing licensed Private Investigators.  , PI License 15304 CA., ","Infortal Associates Inc. (dba Infortal Worldwide) has a Privacy Policy posted on our website at www.infortal.com which will address data collecting practices.  , (Infortal's Privacy policy is being updated currently).","02/07/2020"
"KBM Group LLC, d/b/a Wunderman Thompson Data","Rachel.glasser [at] wundermanthompson.com","http://www.kbmg.com","2050 N. Greenville Ave, Richardson, TX 75082, United States","A consumer may opt our of sale or submit requests under the CCPA through the follow ways:, 1)	Completing our webform to intake such requests which is available on our privacy policy, 2)	emailing:, a.	Consumerassistance@wundermandata.com, b.	DoNotMail@wundermanthompson.com, 3)	Or phoning 866-275-4526, 4)	Consumers may also request to opt out of the sale of their personal information here: https://www.kbmg.com/about-us/ccpa-privacy-policy/#optout  , ","Individuals can demand deletion by one of the methods mentioned above.","For more information please visit https://www.kbmg.com/about-us/privacy/","02/07/2020"
"List Connection","ken [at] listconnection.net","http://www.listconnection.net","PO Box 1712, Simpsonville, SC 29681, United States","Please contact us at: , List Connection, Attn: Privacy Officer, PO Box 1712, Simpsonville, SC 29681, Phone:  864-962-0761, Email:  ken@listconnection.net","Please contact us at: , List Connection, Attn: Privacy Officer, PO Box 1712, Simpsonville, SC 29681, Phone:  864-962-0761, Email:  ken@listconnection.net","",""
"SalesEngine Inc","privacy [at] salesengine.ai","http://salesengine.ai","2711 Centerville Road, Suite 400, Wilmington, DE 19808, United States","Submit an opt out of sale request via email to privacy@salesengine.ai, on our website's Privacy Policy (https://salesengine.ai/privacy-policy/), or by submitting a request via: https://salesengine.ai/privacy-policy/do-not-sell-info/","Submit a request to demand deletion via email to privacy@salesengine.ai,  on our website's Privacy Policy (https://salesengine.ai/privacy-policy/), or by submitting a request via: https://salesengine.ai/privacy-policy/delete-data-request/","","02/07/2020"
"Entelo, Inc.","privacy [at] entelo.com","http://www.entelo.com","584 Castro Street, #909, San Francisco, CA 94111, United States"," California residents that would like to opt-out of the sale of their information or request access to their information, should contact us:, by mail to: Entelo, Attn: Legal, 755 Sansome Street, Suite 100, San Francisco, CA 94111, USA, or, via email: privacy@entelo.com, or, by phone: (888) 402-3010, We prefer email.","A protected individual can demand deletion of any information that we may have on them by contacting us:, by mail to: Entelo, Attn: Legal, 584 Castro Street, #909, San Francisco, CA 94111, USA, or, via email: privacy@entelo.com, or, by phone: (888) 402-3010, We prefer email.","our data collecting practices are fully described on our privacy notice: https://www.entelo.com/privacy-policy/","02/12/2020"
"Lead Me Media","CCPA [at] LeadMeMedia.com","http://www.leadmemedia.com","150 E. Palmetto Park Road, Suite 200, Boca Raton, FL 33432, United States","Through our portal at: http://leadmemedia.com/CCPA/CCPA_portal.html","Through our portal at: http://leadmemedia.com/CCPA/CCPA_portal.html","N/A","02/07/2020"
"Resource Guide LIVE/SportsAtlas","info [at] sportsatlas.com","http://www.resourceguidelive.com","120 W. Morehead St., Charlotte, NC 28202, United States","through a link on our website","through a link on our website","","02/27/2020"
"TouchFuse, LLC DBA Acquire Direct Marketing","DataCompliance [at] AcquireDirect.com","http://www.AcquireDirect.com","12620 Race Track Road, Tampa, FL 33626, United States","A consumer may opt out of sale or submit requests under the CCPA by calling 855-940-DATA or going online to www.LeadJig.com or www.TouchFuse.com and clicking the link titled ""Do Not Sell My Data"" located at the bottom of the website.  ","A consumer may demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1) by completing the form located on our website or emailing DataCompliance@AcquireDirect.com., ","","02/27/2020"
"ICX Media, Inc","privacy [at] icxmedia.com","https://www.icxmedia.com/","1341 G Street, NW, Washington, DC 20005, United States","California residents may opt out of the sale of their personal information or exercise other rights under the CCPA by following the instructions available on the ICX Media website at https://www.icxmedia.com/privacy. California residents may also contact us at privacy@icxmedia.com or 888-403-0653.","California residents may request deletion of their personal information by following the instructions available on the ICX Media website at https://www.icxmedia.com/privacy. California residents may also contact us at privacy@icxmedia.com or 888-403-0653.","For more information on ICX Media’s data-collection practices, please refer to ICX Media’s privacy policy at https://www.icxmedia.com/privacy., ","03/03/2020"
"Nielsen Marketing Cloud","privacy.department [at] nielsen.com","https://www.nielsen.com/us/en/solutions/capabilities/nielsen-marketing-cloud/","85 Broad Street, New York, NY 10004, United States","A consumer can review our privacy practices and opt out of sales and submit requests under the CCPA by visiting: https://www.nielsen.com/us/en/legal/privacy-statement/exelate-privacy-policy/nielsen-marketing-cloud-privacy-notice/ to access Nielsen Marketing Cloud's online request portal and opt out links.","Nielsen Marketing Cloud does not publicly post or display personal information online.","Please review our privacy statement to learn more about how we collect and use data: https://www.nielsen.com/us/en/legal/privacy-statement/exelate-privacy-policy/nielsen-marketing-cloud-privacy-notice/","08/11/2020"
"Freckle I.O.T. Ltd.","privacy [at] freckleiot.com","https://freckleiot.com/","409 King St W, Suite 400, Toronto, ON M5V1K1, Canada","When we obtain Data from App partners, we make reasonable efforts to contract with partners who disclose to their own users matters regarding their use of mobile data for interest-based advertising purposes, and regarding end-user opt-out rights., , End Users may manage certain collection and sharing of Information in connection with their Devices as follows:, , Apple devices, , If you have an Apple device, you can opt out of app-based tracking for interest-based advertising by updating to iOS 6.0 or higher, and setting Limit Ad Tracking to ‘ON’.  For iOS 6, you can do this by selecting Settings -> General -> About -> Advertising and toggling Limit Ad Tracking to ‘ON’. For iOS 7 and higher, you can do this by selecting Settings -> Privacy -> Advertising and toggling Limit Ad Tracking to ‘ON’. You can obtain further information on how to limit ad tracking on your iOS device or to reset your IDFA here:  IDFA Opt-Out (https://support.apple.com/en-ca/HT202074)., , Android devices, , If you have an Android device, you can opt out app-based tracking for interest-based advertising by taking the following steps i) Open the Google Settings app on your device; ii) Select “Ads”; and iii) Opt out of interest-based ads. You can obtain further information about how identifiers on mobile are used for advertising and receive instruction for how to opt out of mobile advertising here: Google Privacy & Terms webpage (https://support.google.com/adsense/troubleshooter/1631343)., , Cross device data collection, , If you would like to opt out of cross-device data collection, please follow the instructions at, https://www.tapad.com/privacy-policy., Opting out of cross device data collection will remove your browser or device from the device graph. You will be required to opt out individually on each of your browsers and on all of your devices.","A protected individual can demand the deletion of information by contacting us. The individual can complete a ""do not sell my information"" request by providing us with the following information:, , First name, Last name, Email, Address, City, State, Postal Code, Country, , To contact us concerning this, please send a letter to:, ,  Attn: Privacy Officer, Freckle IoT, 409 King St. West, Suite 400, Toronto, ON, M5V 1K1, Email: privacy@freckleiot.com","Freckle collects Data using our proprietary technology (often referred to as a software development kit or “SDK”). We may also collect Data through sever-to-server integrations or other Application Program Interfaces (“API”’s). The integration will enable Freckle to collect data from third-party devices present at certain third-party locations. Such devices may use Wi-Fi, near field communication (“NFC”), or Bluetooth low-energy (“BLE”) beacon technology to transmit signals about the location of Devices to us.  Once Freckle obtains this Information, it will transmit that data though an API, in encrypted form, via a HTTPS protocol to its data management platform, make inferences (the “Inferences”), as defined below, about the Device user’s interests., , Freckle uses “pixel tags” and/or “cookies” in order to provide reporting on ad delivery in a pseudonymous manner. Pixel tags are small bits of code that provide delivery information on a webpage. This allows the operator of the page or a third party to collect the IP address of the users of the page. Cookies are small text files that are stored on the browser of a computer that uniquely identify the browser and provide information to the cookie sender. Many websites send cookies to the browsers that are visiting those sites, and many browsers are initially configured to accept cookies. Users can change the browser settings to refuse cookies or to alert them when a cookie has been placed on their browser. The user can check the browser for details in this regard., , Freckle engages in cross device data collection which refers to the process of collecting data from separate devices that have been determined through statistical analysis to be linked or related. Freckle, or partners that we employ to provide this service, use cross device data to provide reporting on offline attribution associated with cross device advertising.","03/11/2020"
"PACE Marketing & Communications","communications [at] pace-ca.us","http://pace.marketing","10565 civic center dr #100, Rancho Cucamonga, CA 91730, United States","A consumer that wants to opt out of sales or submit requests, can submit a request to our customer service representation(info@pace.marketing) or call us on our toll free number(833-275-7223).","A consumer that wants to demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1) , can submit a request to our customer service representation(info@pace.marketing) or call us on our toll free number.","We collect our data from various public sources and whitepages.com. We also run our list data through the NCOA service to clean our information.",""
"King Marketing Group, Inc. ","privacy [at] kingmarketinggroup.com","http://www.kingmarketinggroup.com","16412 S. Loiret St., Olathe, KS 66062, United States","A consumer can submit an opt out, or request, on our website Privacy page or Do Not Sell My Personal Information page.  Consumers may also submit though email or phone, as listed on our site.  ","This can be submitted through our site on the Privacy page or Do Not Sell My Personal Information page, or by email or phone. ","We do not collect information on consumers and are not a database compiler. ","05/19/2020"
"Aptive Environmental","cole [at] goaptive.com","http://goaptive.com","5132 N 300 W, #150, Provo, UT 84604, United States","A consumer may opt-out by request through email, phone conversation, or text message. ","A consumer may opt-out, which results in a deletion, by the response to marketed efforts through email, phone conversation, or text message. ","A consumer fills out a lead for a pest control service quote, if the lead is not in Aptive's area of service, it will be given to a third party to help the consumer take care of their pest control needs. ","09/02/2020"
"Symphony Health Solutions Corporation","SHSPrivacy [at] PRAHS.com","http://symphonyhealth.prahs.com","731 Arbor Way, Suite 100, Blue Bell, PA 19422, United States","https://symphonyhealth.prahs.com/ccpa-privacy-notice, , 1 877.202.0559","https://symphonyhealth.prahs.com/ccpa-privacy-notice, , 1 877.202.0559","","07/20/2020"
"DigiCenter, LLC.","privacy [at] digicenter.com","https://www.digicenter.com","400 TradeCenter, Suite 5900, Woburn, MA 01801, United States","Please use the links below to opt-out., , https://www.digicenter.com/opt-out/ ","Please use the links below to request information or request deletion of your information., , https://www.digicenter.com/opt-out/","Please reference our Privacy Policy for further detail, link below., , https://www.digicenter.com/privacy-policy/","06/09/2020"
"Telo USA Inc. and its subsidiaries and affiliates","privacy [at] telo.com","http://www.telo.com","53 Palmeras ST, 7th Floor, San Juan, PR 00901, United States","A consumer may opt out of sale or submit requests under the CCPA by using the web form located at https://www.telo.com/ccpa or by emailing us at privacy@telo.com.","A protected individual may submit their deletion request by emailing us at privacy@telo.com. ","","06/09/2020"
"NinthDecimal, Inc.","privacy [at] ninthdecimal.com","https://www.ninthdecimal.com/","150 Post Street, Suite 500, San Francisco, CA 94108, United States","A consumer may opt-out of the sale of data or submit a CCPA request by visiting the Privacy Center on our website, or by clicking on the link below.  You can also send us an email at privacy@ninthdecimal.com or call our toll free number (1-800-563-1580) and we will provide you instructions on how to make a request.  , , https://www.ninthdecimal.com/privacy/#tab-id-5","A consumer can demand deletion of information by visiting the Privacy Center on our website, or by clicking on the link below.  You can also send us an email at privacy@ninthdecimal.com or call our toll free number (1-800-563-1580) and we will provide you instructions on how to make a request.  , , https://www.ninthdecimal.com/privacy/#tab-id-5","Consumers can learn more about our data collection practices by accessing our privacy policy:, , https://www.ninthdecimal.com/privacy/#tab-id-1, , ","07/13/2020"
"AdColony, Inc.","privacy [at] adcolony.com","https://www.adcolony.com/privacy-policy/","1888 Century Park E, #1450, Los Angeles, CA 90067, United States","Consumers visit our privacy policy page ( https://www.adcolony.com/privacy-policy/ ) to opt out of sale, submit requests, or otherwise exercise their rights under the CCPA. , , Consumers will need to provide some information to verify and fulfill the request, including their device advertising ID. ","We do not collect or process information pertinent to Gov. Code sections 6208.1(b) or 6254.21(c)(1), but consumers may exercise a request for deletion by visiting our privacy policy page at: https://www.adcolony.com/privacy-policy/ . ","Detailed information about our data collecting practices can be found on our privacy policy page at: https://www.adcolony.com/privacy-policy/, ","07/30/2020"
"Atriks, LLC","ccpa [at] atriks.com","http://atriks.com","300 West Road, Portsmouth, NH 03801, United States","Detailed information on how to opt out are available at http://atriks.com/privacy.html","Detailed information on how to opt out are available at http://atriks.com/privacy.html","","07/08/2020"
"Tranwave Productions, LLC.","privacy [at] tranwave.com","http://tranwave.com","2509 Bay Blvd, Apt A, Apt A, INDIAN ROCKS BEACH, FL 33785, United States","California residents may submit opt-out requests via email to:, postmaster@blogizine.com, postmaster@bloggerist.com, postmaster@loveyhouse.com, postmaster@pagesblog.com, ","Protected and Non-protected individuals can request deletion by emailing the following email addresses:, postmaster@blogizine.com, postmaster@bloggerist.com, postmaster@loveyhouse.com, postmaster@pagesblog.com","Please visit the following websites to review our Privacy Statement for more information., https://blogizine.com/privacy-policy/, https://loveyhouse.com/privacy-policy/, https://bloggerist.com/privacy-policy/, https://pagesblog.com/privacy-policy/","07/31/2020"
"HD Information, LLC","HDI_support [at] hygenicsdata.com","https://hygenicsdata.com/","9901 Linn Station Rd., Suite 500, Louisville, KY 40223, United States","HD Information, LLC uses a third party service provider to manage opt outs and other CCPA requests. Consumers can submit a request by clicking a link on our website and filling in the necessary information. ","Not Applicable","See HD Information Privacy Policy: https://hygenicsdata.com/privacy-policy/ ","07/30/2020"
"The Data Group","compliance [at] thedatagroup.com","http://TheDataGroup.com","3280 East Colonial Drive, Orlando, FL 32803, United States","A consumer may submit opt-out requests by email to compliance@thedatagroup.com. A consumer may visit our privacy policy at: https://www.thedatagroup.com/privacy-policy/ for more information.","The Data Group does not post data online; however, if you wish to opt-out of other third party ad platforms and ad networks, we recommend visiting the opt-out pages offered by the Network Advertising Initiative and the Digital Advertising Alliance (DAA) AboutAds program. For more information, please go to The Data Group's privacy policy at: https://www.thedatagroup.com/privacy-policy/","","07/22/2020"
"MarkSpace Media Pvt Ltd","amit.a [at] markspacemedia.com","http://www.markspacemedia.com","Office # 304/ 305/ 306/ 307, 3rd Floor, Connaught Place, Bund Garden Road, Pune Maharashtra 411001, India","Exercising Access, Data Portability, and Deletion Rights:, To exercise the access, data portability, and deletion rights, please submit a verifiable consumer request to us at privacy@markspacemedia.com , ‘Opt-out’ from Sale:, You may opt out from having your personal information sold by submitting verifiable request at ‘Do not Sell my data’., ","Our Deletion Request Rights are as follows:, , You have the right to request that we delete any of your personal information that we collected from you and retained, subject to certain exceptions. Once we receive and confirm your verifiable consumer request, we will delete (and direct our service providers to delete) your personal information from our records, unless an exception applies., We may deny your deletion request if retaining the information is necessary for us or our service providers to:, 1.	Complete the transaction for which we collected the personal information, provide a good or service that you requested, take actions reasonably anticipated within the context of our ongoing business relationship with you, or otherwise perform our contract with you., 2.	Detect security incidents, protect against malicious, deceptive, fraudulent, or illegal activity, or prosecute those responsible for such activities., 3.	Debug products to identify and repair errors that impair existing intended functionality., 4.	Exercise free speech, ensure the right of another consumer to exercise their free speech rights, or exercise another right provided for by law., 5.	Comply with the California Electronic Communications Privacy Act (Cal. Penal Code § 1546 seq.)., 6.	Engage in public or peer-reviewed scientific, historical, or statistical research in the public interest that adheres to all other applicable ethics and privacy laws, when the information's deletion may likely render impossible or seriously impair the research's achievement, if you previously provided informed consent., 7.	Enable solely internal uses that are reasonably aligned with consumer expectations based on your relationship with us., 8.	Comply with a legal obligation., 9.	Make other internal and lawful uses of that information that are compatible with the context in which you provided it., ","Information on the categories on which we collect data and the ones where we Do Not:, Data Type: Identifiers | Data Collected: YES (First name, last name, title, company name, email, work phone, street, state, zip, country, IP address, LinkedIn profile, revenue of the company.) , Data Type: Personal information categories listed in the California Customer Records statute (Cal. Civ. Code § 1798.80(e)). | Data Collected: NO, Data Type: Protected classification characteristics under California or Federal Law | Data Collected: NO, Data Type: Commercial information. | Data Collected: NO, Data Type: Biometric information. | Data Collected: NO, Data Type: Internet or other similar network activity. | Data Collected: NO, Data Type: Geolocation data. | Data Collected: NO, Data Type: Sensory Data | Data Collected: NO, Data Type: Professional or employment-related information. | Data Collected: NO, Data Type: Non-public education information (per the Family Educational Rights and Privacy Act (20 U.S.C. Section 1232g, 34 C.F.R. Part 99)). | Data Collected: NO, Data Type: Inferences drawn from other personal information. | Data Collected: NO, ",""
"Connect Now Inc.","karen [at] connectnowinc.com","https://www.connectnowinc.com","110 Commercial Wharf North, 3rd Floor, Boston, MA 02110, United States","Please refer to our privacy policy found at https://connectnowinc.com/privacy-policy/, ","Please refer to our privacy policy found at https://connectnowinc.com/privacy-policy/","",""
"Ivy Data","kyle [at] getivydata.com","https://www.getivydata.com/","2250 E Germann Rd, Suite 4, Chandler, AZ 85286, United States","We have two options at the bottom of home page. They are links that give the consumer the power to opt out or confirm to do not sell their information. ","We have two options at the bottom of home page. They are links that give the consumer the power to opt out or confirm to do not sell their information. ","",""
"Baylyn LLC","kevin [at] baylynmedia.com","http://www.baylyncrm.com","7409 parkline drive, Henrico, VA 23226, United States","The policy is available with privacy policy that give instructions on how to opt out. By emailing us at  care@baylyncrm.com ","Our opt out policy is simply they can opt out by emailing us at care@baylyncrm.com  Our booking widget clearly asked for permission and gives them a opt out process if they no longer want to receive information. ","We buy marketing information to only be used for marketing purpose. We buy from 3rd party data sources. We also provide a opt out process with all of our marketing ads. ","10/15/2020"
"The Spoken Thought Inc ","privacy [at] mira.co","https://www.mira.co/","222 Broadway Fl 19, New York, NY 10038, United States","Do Not Sell My Info link (https://www.mira.co/privacy/full/#do-not-sell-my-info) on all pages of website","By Visiting our opt out page at https://www.mira.co/privacy/ccpa/, emailing us at optout@mira.co, or calling us at 646-907-6472.","","02/04/2021"
"EverString Technology Limited","privacy [at] everstring.com","http://www.everstring.com","1850 Gateway Drive, Suite 400, San Mateo, CA 94404, United States","Consumers may manage their data preferences through our Privacy Contact Center, here: https://pages.everstring.com/CCPA.html","Consumers may manage their data preferences through our Privacy Contact Center, here: https://pages.everstring.com/CCPA.html","Consumers may learn more about our data collection and use practices by reviewing our Privacy Policy, here:  https://www.everstring.com/privacy-policy/","10/28/2020"
"Edinburgh Holdings LLC","help [at] listshack.support","https://www.listshack.io/","1042 Fort Union Boulevard #1122, Midvale, UT 84606, United States","The process for for consumers opting out of the sale or submitting requests under the CCPA is detailed in our CCPA disclosures at https://www.listshack.io/ccpa","The process for protected individuals demanding deletion of information is detailed in our CCPA disclosures at https://www.listshack.io/ccpa. Deletion requests may be sent directly to our company via email after completing the form found at https://www.listshack.io/ccpa_optout.","We disclose our data collecting practices in our CCPA disclosures found at https://www.listshack.io/ccpa.",""
"Poshmark, Inc.","support [at] poshmark.com","https://poshmark.com/","203 Redwood Shores Pkwy Floor 8, Redwood City, CA 94065, United States","Consumers may opt out of the sale of their personal information by visiting our Privacy Policy and clicking ""Do Not Sell My Personal Information"" (https://poshmark.com/account/data-sharing) in Section ""Do Not Sell"". Here, consumers who are not logged in can opt out. Consumers who have a Poshmark account can opt out by logging into their account. , , Consumer may also opt out by deleting their account (https://poshmark.com/account/delete). A Consumers account can be deleted through the Privacy Policy or through the Poshmark App. , , Consumers can submit a request to receive a copy of their information by clicking ""click here to receive a copy of the personal information collected"" in our Privacy Policy. The link will lead them to https://poshmark.com/account/export. Once the request is submitted, we will send them a copy of their information. , , Requests can also be submitted by emailing support@poshmark.com.","A protected individual can demand deletion of their information by visiting our Privacy Policy and requesting to delete their information by clicking ""click here to request to delete personal information"" (https://poshmark.com/account/delete). They can also delete their account through the Poshmark App. The deletion of their account will delete all of their information. ","","01/26/2021"
"0ptimus Analytics","info [at] 0ptimus.com","https://0ptimus.com/","201 N Union St, Suite 110, Alexandria, VA 22314, United States","Instructions on how to submit a request to opt-out of sale can be found here: https://0ptimus.com/privacy-policy/ and here: https://0ptimus.com/delete-my-data/","This is not applicable, as 0ptimus does not post personal information online.","","01/29/2021"
"DataPlusContent LLC","privacy [at] datapluscontent.com","http://www.datapluscontent.com","1317 Commercial St, #201, Bellingham, WA 98225, United States","There is a public-facing California Consumer Privacy Act - ""Do Not Sell My Personal Information"" page available at:, , https://www.datapluscontent.com/do-not-sell-my-info","If you are a California user, you have certain rights with respect to the collection, use, transfer, and processing of you “Personal Information,” as defined by the California Consumer Privacy Act (“CCPA”).  We reserve the right to limit these rights where permitted under applicable law, including where your identity cannot be reasonably verified or to the extent your rights adversely affect the rights and freedoms of others.  To exercise any of the rights below, please contact us via the contact information below.  Only you or a person registered with the California Secretary of State that you authorize to act on your behalf may make a verifiable consumer request related to your personal information., , You can submit your request by calling us at (800) 290-6761. You may also submit a request by sending us an email at privacy@datapluscontent.com. ","Data Plus Content's full privacy policy is available at:, , https://www.datapluscontent.com/privacy-policy","01/29/2021"
"Ubiquity Systems","azuttah [at] ubiquitysystemsusa.com","http://www.accuusa.com","11049 Magnolia Blvd., Unit 238, North Hollywood, CA 91601, United States","They may request it with an unsubscribe email.","They may request it with an unsubscribe email.","",""
